year,price,data_year,scenario,fuel,region,dollar_year
2033,4.917033,2025,no_111d,naturalgas,p9,2024
2032,4.594566,2025,no_111d,naturalgas,p9,2024
2031,4.281225,2025,no_111d,naturalgas,p9,2024
2030,4.013898,2025,no_111d,naturalgas,p9,2024
2029,3.612164,2025,no_111d,naturalgas,p9,2024
2028,3.339882,2025,no_111d,naturalgas,p9,2024
2027,3.157325,2025,no_111d,naturalgas,p9,2024
2026,3.251022,2025,no_111d,naturalgas,p9,2024
2025,3.399012,2025,no_111d,naturalgas,p9,2024
2024,3.170836,2025,no_111d,naturalgas,p9,2024
2050,5.837853,2025,no_111d,naturalgas,p10,2024
2049,5.7349,2025,no_111d,naturalgas,p10,2024
2048,5.609483,2025,no_111d,naturalgas,p10,2024
2047,5.551978,2025,no_111d,naturalgas,p10,2024
2046,5.619327,2025,no_111d,naturalgas,p10,2024
2045,5.531449,2025,no_111d,naturalgas,p10,2024
2044,5.44116,2025,no_111d,naturalgas,p10,2024
2043,5.357093,2025,no_111d,naturalgas,p10,2024
2042,5.212529,2025,no_111d,naturalgas,p10,2024
2041,5.149276,2025,no_111d,naturalgas,p10,2024
2040,5.06742,2025,no_111d,naturalgas,p10,2024
2039,5.015665,2025,no_111d,naturalgas,p10,2024
2038,5.089327,2025,no_111d,naturalgas,p10,2024
2037,5.313449,2025,no_111d,naturalgas,p10,2024
2036,5.329287,2025,no_111d,naturalgas,p10,2024
2035,5.3175,2025,no_111d,naturalgas,p10,2024
2034,5.182823,2025,no_111d,naturalgas,p10,2024
2033,4.917033,2025,no_111d,naturalgas,p10,2024
2032,4.594566,2025,no_111d,naturalgas,p10,2024
2031,4.281225,2025,no_111d,naturalgas,p10,2024
2030,4.013898,2025,no_111d,naturalgas,p10,2024
2029,3.612164,2025,no_111d,naturalgas,p10,2024
2028,3.339882,2025,no_111d,naturalgas,p10,2024
2027,3.157325,2025,no_111d,naturalgas,p10,2024
2026,3.251022,2025,no_111d,naturalgas,p10,2024
