data_year,basis_year,cap_recovery_years,cost_case,financial_case,technology,tech_detail,parameter,parameter_value,units,dollar_year
2024,2025,55,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),fixed_o_m_mw,25700.0,,2022
2024,2025,55,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),variable_o_m_mwh,6.94,,2022
2024,2026,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,capex_mw,312349.9362,,2022
2024,2026,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,capex_mwh,297136.4948,,2022
2024,2026,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,fixed_o_m_mw,7808.748405,,2022
2024,2026,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,fixed_o_m_mwh,7428.41237,,2022
2024,2026,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,variable_o_m_mwh,0.0,,2022
2024,2026,20,Moderate,Market,LandbasedWind,Class3,capex_mw,1430873.89371948,,2022
2024,2026,20,Moderate,Market,LandbasedWind,Class3,fixed_o_m_mw,30853.4102072699,,2022
2024,2026,20,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),capex_mw,1339900.29749149,,2022
2024,2026,20,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),fixed_o_m_mw,33100.0,,2022
2024,2026,20,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),variable_o_m_mwh,2.1,,2022
2024,2026,20,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),capex_mw,1198154.3578367,,2022
2024,2026,20,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),fixed_o_m_mw,25600.0,,2022
2024,2026,20,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),variable_o_m_mwh,6.94,,2022
2024,2026,20,Moderate,Market,UtilityPV,Class1,capex_mw,1312583.62924507,,2022
2024,2026,20,Moderate,Market,UtilityPV,Class1,fixed_o_m_mw,20395.279725064,,2022
2024,2026,30,Moderate,Market,LandbasedWind,Class3,capex_mw,1430873.89371948,,2022
2024,2026,30,Moderate,Market,LandbasedWind,Class3,fixed_o_m_mw,30853.4102072699,,2022
2024,2026,30,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),capex_mw,1339900.29749149,,2022
2024,2026,30,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),fixed_o_m_mw,33100.0,,2022
2024,2026,30,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),variable_o_m_mwh,2.1,,2022
2024,2026,30,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),capex_mw,1198154.3578367,,2022
2024,2026,30,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),fixed_o_m_mw,25600.0,,2022
2024,2026,30,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),variable_o_m_mwh,6.94,,2022
2024,2026,30,Moderate,Market,UtilityPV,Class1,capex_mw,1312583.62924507,,2022
2024,2026,30,Moderate,Market,UtilityPV,Class1,fixed_o_m_mw,20395.279725064,,2022
2024,2026,55,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),capex_mw,1339900.29749149,,2022
2024,2026,55,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),fixed_o_m_mw,33100.0,,2022
2024,2026,55,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),variable_o_m_mwh,2.1,,2022
2024,2026,55,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),capex_mw,1198154.3578367,,2022
2024,2026,55,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),fixed_o_m_mw,25600.0,,2022
2024,2026,55,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),variable_o_m_mwh,6.94,,2022
2024,2027,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,capex_mw,313435.2591,,2022
2024,2027,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,capex_mwh,284320.3982,,2022
2024,2027,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,fixed_o_m_mw,7835.881478,,2022
2024,2027,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,fixed_o_m_mwh,7108.009955,,2022
2024,2027,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,variable_o_m_mwh,0.0,,2022
2024,2027,20,Moderate,Market,LandbasedWind,Class3,capex_mw,1398644.72374504,,2022
2024,2027,20,Moderate,Market,LandbasedWind,Class3,fixed_o_m_mw,30456.0009423051,,2022
2024,2027,20,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),capex_mw,1327865.26487929,,2022
2024,2027,20,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),fixed_o_m_mw,32800.0,,2022
2024,2027,20,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),variable_o_m_mwh,2.09,,2022
2024,2027,20,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),capex_mw,1188348.0349675,,2022
2024,2027,20,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),fixed_o_m_mw,25400.0,,2022
2024,2027,20,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),variable_o_m_mwh,6.94,,2022
2024,2027,20,Moderate,Market,UtilityPV,Class1,capex_mw,1254711.92353064,,2022
