region,year,weather_year,time_index,load_mw
p11,2030,2012,4,2317.0
p11,2030,2012,5,2249.0
p11,2030,2012,6,2174.0
p11,2030,2012,7,2124.0
p11,2030,2012,8,2130.0
p11,2030,2012,9,2157.0
p11,2030,2012,10,2197.0
p11,2030,2012,11,2221.0
p11,2030,2012,12,2329.0
p11,2030,2012,13,2405.0
p11,2030,2012,14,2444.0
p11,2030,2012,15,2403.0
p11,2030,2012,16,2341.0
p11,2030,2012,17,2315.0
p11,2030,2012,18,2267.0
p11,2030,2012,19,2260.0
p11,2030,2012,20,2332.0
p11,2030,2012,21,2608.0
p11,2030,2012,22,2653.0
p11,2030,2012,23,2630.0
p11,2030,2012,24,2577.0
p11,2030,2012,25,2501.0
p11,2030,2012,26,2382.0
p11,2030,2012,27,2265.0
p11,2030,2012,28,2266.0
p11,2030,2012,29,2243.0
p11,2030,2012,30,2202.0
p11,2030,2012,31,2147.0
p11,2030,2012,32,2191.0
p11,2030,2012,33,2284.0
p11,2030,2012,34,2386.0
p11,2030,2012,35,2466.0
p11,2030,2012,36,2553.0
p11,2030,2012,37,2613.0
p11,2030,2012,38,2703.0
p11,2030,2012,39,2700.0
p11,2030,2012,40,2631.0
p11,2030,2012,41,2571.0
p11,2030,2012,42,2552.0
p11,2030,2012,43,2545.0
p11,2030,2012,44,2613.0
p11,2030,2012,45,2858.0
p11,2030,2012,46,2930.0
p11,2030,2012,47,2899.0
p11,2030,2012,48,2828.0
p11,2030,2012,49,2710.0
p11,2030,2012,50,2534.0
p11,2030,2012,51,2361.0
p11,2030,2012,52,2246.0
p11,2030,2012,53,2212.0
p11,2030,2012,54,2170.0
p11,2030,2012,55,2138.0
p11,2030,2012,56,2198.0
p11,2030,2012,57,2352.0
p11,2030,2012,58,2560.0
p11,2030,2012,59,2680.0
p11,2030,2012,60,2732.0
p11,2030,2012,61,2779.0
p11,2030,2012,62,2842.0
p11,2030,2012,63,2837.0
p11,2030,2012,64,2771.0
p11,2030,2012,65,2749.0
p11,2030,2012,66,2713.0
p11,2030,2012,67,2667.0
p11,2030,2012,68,2704.0
p11,2030,2012,69,2923.0
p11,2030,2012,70,2977.0
p11,2030,2012,71,2938.0
p11,2030,2012,72,2858.0
p11,2030,2012,73,2737.0
p11,2030,2012,74,2567.0
p11,2030,2012,75,2396.0
p11,2030,2012,76,2315.0
p11,2030,2012,77,2282.0
p11,2030,2012,78,2239.0
p11,2030,2012,79,2203.0
p11,2030,2012,80,2259.0
p11,2030,2012,81,2402.0
p11,2030,2012,82,2622.0
p11,2030,2012,83,2729.0
p11,2030,2012,84,2765.0
p11,2030,2012,85,2807.0
p11,2030,2012,86,2862.0
p11,2030,2012,87,2850.0
p11,2030,2012,88,2782.0
p11,2030,2012,89,2760.0
p11,2030,2012,90,2723.0
p11,2030,2012,91,2708.0
p11,2030,2012,92,2740.0
p11,2030,2012,93,2944.0
p11,2030,2012,94,2986.0
p11,2030,2012,95,2937.0
p11,2030,2012,96,2855.0
p11,2030,2012,97,2719.0
p11,2030,2012,98,2542.0
p11,2030,2012,99,2377.0
p11,2030,2012,100,2294.0
p11,2030,2012,101,2250.0
p11,2030,2012,102,2208.0
p11,2030,2012,103,2164.0
p11,2030,2012,104,2224.0
p11,2030,2012,105,2357.0
p11,2030,2012,106,2589.0
p11,2030,2012,107,2687.0
p11,2030,2012,108,2739.0
p11,2030,2012,109,2784.0
p11,2030,2012,110,2838.0
p11,2030,2012,111,2838.0
p11,2030,2012,112,2785.0
p11,2030,2012,113,2759.0
p11,2030,2012,114,2726.0
p11,2030,2012,115,2703.0
p11,2030,2012,116,2717.0
p11,2030,2012,117,2920.0
p11,2030,2012,118,2966.0
p11,2030,2012,119,2916.0
p11,2030,2012,120,2833.0
p11,2030,2012,121,2722.0
p11,2030,2012,122,2554.0
p11,2030,2012,123,2391.0
p11,2030,2012,124,2342.0
p11,2030,2012,125,2315.0
