technology,plant_id,generator_id,capacity_mw,capacity_mwh,nameplate_capacity_mw,winter_capacity_mw,operating_year,retirement_year,historical_capacity_factor,heat_rate_mmbtu_mwh,vom_per_mwh,fom_per_mwyr
Solar Photovoltaic,63727,SL3EC,67.5,,67.5,67.5,2022,2052,0.29,0.0,0.0,9730.0
Solar Photovoltaic,63727,SLATE,50.5,,50.5,50.5,2021,2051,0.272,0.0,0.0,9730.0
Batteries,63727,SLB3C,33.8,135.0,33.8,33.8,2022,2052,0.0,0.0,0.0,17250.0
Batteries,63727,SLBES,50.0,200.0,50.0,50.0,2022,2052,0.0,0.0,0.0,17250.0
Batteries,63727,SLBPW,10.0,40.0,10.0,10.0,2022,2052,0.0,0.0,0.0,17250.0
Batteries,63727,SLBSV,46.5,186.0,46.5,46.5,2022,2052,0.0,0.0,0.0,17250.0
Solar Photovoltaic,63727,SLPWR,26.0,,26.0,26.0,2022,2052,0.29,0.0,0.0,9730.0
Solar Photovoltaic,63727,SLSTN,63.0,,63.0,63.0,2022,2052,0.292,0.0,0.0,9730.0
Solar Photovoltaic,63727,SLSVC,93.0,,93.0,93.0,2022,2052,0.289,0.0,0.0,9730.0
Batteries,63859,RCBA,147.0,147.0,147.0,147.0,2024,2039,0.85,0.0,0.0,12544.0
Batteries,66394,GOLET,60.0,160.0,60.0,60.0,2023,2038,0.85,0.0,0.0,17250.0
Solar Photovoltaic,63761,SSCLC,1.0,,1.0,1.0,2020,2050,0.277,0.0,0.0,7714.0
Solar Photovoltaic,63761,SSCLD,1.0,,1.0,1.0,2020,2050,0.277,0.0,0.0,7714.0
Solar Photovoltaic,63762,SILVA,1.0,,1.0,1.0,2021,2051,0.151,0.0,0.0,7714.0
Solar Photovoltaic,63762,SILVB,1.0,,1.0,1.0,2021,2051,0.151,0.0,0.0,7714.0
Solar Photovoltaic,63762,SILVC,1.0,,1.0,1.0,2021,2051,0.151,0.0,0.0,7714.0
Solar Photovoltaic,63798,ATL01,169.8089862,,174.3498644,169.347114,2025,2055,0.219,0.0,0.0,9730.0
Batteries,63798,ATLB1,169.8089862,679.2359448,174.3498644,169.347114,2025,2055,0.85,0.0,0.0,12544.0
Solar Photovoltaic,63848,SBLUE,250.0,,250.0,250.0,2023,2053,0.212,0.0,0.0,7714.0
Solar Photovoltaic,63849,CHNUT,150.6,,150.6,150.6,2023,2053,0.212,0.0,0.0,7714.0
Solar Photovoltaic,63850,CHERY,249.7,,249.7,249.7,2025,2055,0.212,0.0,0.0,7714.0
Solar Photovoltaic,63851,GRAPE,246.4,,246.4,246.4,2025,2055,0.212,0.0,0.0,7714.0
